codigo,municipio,uf,ufTabela,populacao
1600709,Tartarugalzinho,Amapá,amapa,17315
3553955,Tarumã,São Paulo,saopaulo,15000
3168408,Tarumirim,Minas Gerais,minasgerais,14326
2112001,Tasso Fragoso,Maranhão,maranhao,8521
3554003,Tatuí,São Paulo,saopaulo,121766
2313302,Tauá,Ceará,ceara,58859
3554102,Taubaté‎,São Paulo,saopaulo,314924
2516607,Tavares,Paraíba,paraiba,14726
4321352,Tavares,Rio Grande do Sul,riograndedosul,5481
1304203,Tefé,Amazonas,amazonas,59849
2516706,Teixeira,Paraíba,paraiba,15161
2931350,Teixeira de Freitas,Bahia,bahia,160487
4127007,Teixeira Soares,Paraná,parana,12367
3168507,Teixeiras,Minas Gerais,minasgerais,11661
1101559,Teixeirópolis,Rondônia,rondonia,4308
2313351,Tejuçuoca,Ceará,ceara,19187
3554201,Tejupá,São Paulo,saopaulo,4532
4127106,Telêmaco Borba,Paraná,parana,78974
2807303,Telha,Sergipe,sergipe,3227
2414100,Tenente Ananias,Rio Grande do Norte,riograndedonorte,10786
